HGNC ID	Approved symbol	Ensembl gene ID	Ensembl ID(supplied by Ensembl)	NCBI Gene ID(supplied by NCBI)
HGNC:25174	HAUS1	ENSG00000152240	ENSG00000152240	115106
HGNC:43760	HAUS1P1	ENSG00000251453	ENSG00000251453	728921
HGNC:43761	HAUS1P2	ENSG00000224224	ENSG00000224224	441484
HGNC:43762	HAUS1P3	ENSG00000253226	ENSG00000253226	100271703
HGNC:25530	HAUS2	ENSG00000137814	ENSG00000137814	55142
HGNC:28719	HAUS3	ENSG00000214367	ENSG00000214367	79441
HGNC:20163	HAUS4	ENSG00000092036	ENSG00000092036	54930
HGNC:43763	HAUS4P1	ENSG00000226967	ENSG00000226967	100129402
HGNC:29130	HAUS5	ENSG00000249115	ENSG00000249115	23354
HGNC:25948	HAUS6	ENSG00000147874	ENSG00000147874	54801
HGNC:43764	HAUS6P1	ENSG00000227344	ENSG00000227344	653175
HGNC:43765	HAUS6P2	ENSG00000236121	ENSG00000236121	100133268
HGNC:50772	HAUS6P3	ENSG00000235454	ENSG00000235454	102723574
HGNC:32979	HAUS7	ENSG00000213397	ENSG00000213397	55559
HGNC:30532	HAUS8	ENSG00000131351	ENSG00000131351	93323
HGNC:43766	HAUS8P1	ENSG00000257300	ENSG00000257300	100420901
HGNC:4822	HAUSP			
HGNC:17866	HAVCR1	ENSG00000113249	ENSG00000113249	26762
HGNC:44033	HAVCR1P1			100101266
HGNC:44035	HAVCR1P2			100421002
HGNC:18437	HAVCR2	ENSG00000135077	ENSG00000135077	84868
HGNC:16915	HAX1	ENSG00000143575	ENSG00000143575	10456
HGNC:55151	HAX1P1	ENSG00000233467		100129661
HGNC:4823	HBA1	ENSG00000206172	ENSG00000206172	3039
HGNC:4824	HBA2	ENSG00000188536	ENSG00000188536	3040
HGNC:4825	HBAP1	ENSG00000225323		3041
HGNC:4827	HBB	ENSG00000244734	ENSG00000244734	3043
HGNC:4828	HBBP1	ENSG00000229988	ENSG00000229988	3044
HGNC:4829	HBD	ENSG00000223609	ENSG00000223609	3045
